ionIdx	ionMz	MzDelta	Formula	Mod	CompoundID	CompoundName
1	55.0183	0.000657030585877294	C3H4O	-H(-)	C01471	Acrolein
1	55.0183	0.000657030585877294	C3H4O	-H(-)	C05986	2-Propyn-1-ol
1	55.0183	0.000657030585877294	C3H4O	-H(-)	HMDB0041822	Acrolein
1	55.0183	0.000657030585877294	C3H4O	-H(-)	CHEBI:15368	acrolein
1	55.0183	0.000657030585877294	C3H4O	-H(-)	CHEBI:28905	prop-2-yn-1-ol
1	55.0183	0.000657030585877294	C3H4O	-H(-)	CHEBI:48057	2-oxopropylidene group
1	55.0183	0.000657030585877294	C3H4O	-H(-)	CHEBI:51195	oxetene
2	57.0342	0.000378262971871379	C3H6O	-H(-)	C00207	Acetone
2	57.0342	0.000378262971871379	C3H6O	-H(-)	C00479	Propanal
2	57.0342	0.000378262971871379	C3H6O	-H(-)	C02001	Allyl alcohol
2	57.0342	0.000378262971871379	C3H6O	-H(-)	C11506	(2R)-1,2-Epoxypropane
2	57.0342	0.000378262971871379	C3H6O	-H(-)	C11507	(S)-1,2-Epoxypropane
2	57.0342	0.000378262971871379	C3H6O	-H(-)	C15508	1,2-Epoxypropane
2	57.0342	0.000378262971871379	C3H6O	-H(-)	HMDB0001659	Acetone
2	57.0342	0.000378262971871379	C3H6O	-H(-)	HMDB0003366	Propanal
2	57.0342	0.000378262971871379	C3H6O	-H(-)	HMDB0031558	Methyloxirane
2	57.0342	0.000378262971871379	C3H6O	-H(-)	HMDB0031652	Allyl alcohol
2	57.0342	0.000378262971871379	C3H6O	-H(-)	CHEBI:15347	acetone
2	57.0342	0.000378262971871379	C3H6O	-H(-)	CHEBI:16605	allyl alcohol
2	57.0342	0.000378262971871379	C3H6O	-H(-)	CHEBI:17153	propanal
2	57.0342	0.000378262971871379	C3H6O	-H(-)	CHEBI:28982	(S)-1,2-epoxypropane
2	57.0342	0.000378262971871379	C3H6O	-H(-)	CHEBI:28985	(R)-1,2-epoxypropane
2	57.0342	0.000378262971871379	C3H6O	-H(-)	CHEBI:30965	oxetane
2	57.0342	0.000378262971871379	C3H6O	-H(-)	CHEBI:38685	1,2-epoxypropane
2	57.0342	0.000378262971871379	C3H6O	-H(-)	CHEBI:78217	acetone d6
4	59.0135	0.000383383954435601	C2H4O2	-H(-)	C00033	Acetate
4	59.0135	0.000383383954435601	C2H4O2	-H(-)	C00266	Glycolaldehyde
4	59.0135	0.000383383954435601	C2H4O2	-H(-)	HMDB0000042	Acetic acid
4	59.0135	0.000383383954435601	C2H4O2	-H(-)	HMDB0002165	NA
4	59.0135	0.000383383954435601	C2H4O2	-H(-)	HMDB0003344	Glycolaldehyde
4	59.0135	0.000383383954435601	C2H4O2	-H(-)	CHEBI:15366	acetic acid
4	59.0135	0.000383383954435601	C2H4O2	-H(-)	CHEBI:17071	glycolaldehyde
4	59.0135	0.000383383954435601	C2H4O2	-H(-)	CHEBI:77699	methyl formate
5	59.0496	0.000671086939163956	C3H8O	-H(-)	C01845	Propan-2-ol
5	59.0496	0.000671086939163956	C3H8O	-H(-)	C05979	Propane-1-ol
5	59.0496	0.000671086939163956	C3H8O	-H(-)	HMDB0000820	Propyl alcohol
5	59.0496	0.000671086939163956	C3H8O	-H(-)	HMDB0000863	Isopropyl alcohol
5	59.0496	0.000671086939163956	C3H8O	-H(-)	CHEBI:17824	propan-2-ol
5	59.0496	0.000671086939163956	C3H8O	-H(-)	CHEBI:28831	propan-1-ol
5	59.0496	0.000671086939163956	C3H8O	-H(-)	CHEBI:39832	methoxyethane
6	67.0186	0.000298868306089162	C4H4O	-H(-)	C06145	3-Butyn-1-al
6	67.0186	0.000298868306089162	C4H4O	-H(-)	C14275	Furan
6	67.0186	0.000298868306089162	C4H4O	-H(-)	HMDB0006853	3-Butyn-1-al
6	67.0186	0.000298868306089162	C4H4O	-H(-)	HMDB0006945	NA
6	67.0186	0.000298868306089162	C4H4O	-H(-)	HMDB0013785	Furan
6	67.0186	0.000298868306089162	C4H4O	-H(-)	CHEBI:28180	but-3-ynal
6	67.0186	0.000298868306089162	C4H4O	-H(-)	CHEBI:35559	furan
6	67.0186	0.000298868306089162	C4H4O	-H(-)	CHEBI:48060	butyn-2-one
8	71.0134	0.000460954693167537	C3H4O2	-H(-)	C00511	Acrylic acid
8	71.0134	0.000460954693167537	C3H4O2	-H(-)	C00546	Methylglyoxal
8	71.0134	0.000460954693167537	C3H4O2	-H(-)	C19246	Glycidaldehyde
8	71.0134	0.000460954693167537	C3H4O2	-H(-)	C19297	Propiolactone
8	71.0134	0.000460954693167537	C3H4O2	-H(-)	C19440	Malonaldehyde
8	71.0134	0.000460954693167537	C3H4O2	-H(-)	C19501	Polyacrylic acid
8	71.0134	0.000460954693167537	C3H4O2	-H(-)	HMDB0001167	Pyruvaldehyde
8	71.0134	0.000460954693167537	C3H4O2	-H(-)	HMDB0006112	Malondialdehyde
8	71.0134	0.000460954693167537	C3H4O2	-H(-)	HMDB0031647	Acrylic acid
8	71.0134	0.000460954693167537	C3H4O2	-H(-)	CHEBI:17158	methylglyoxal
8	71.0134	0.000460954693167537	C3H4O2	-H(-)	CHEBI:18308	acrylic acid
8	71.0134	0.000460954693167537	C3H4O2	-H(-)	CHEBI:49073	beta-propiolactone
8	71.0134	0.000460954693167537	C3H4O2	-H(-)	CHEBI:566274	malonaldehyde
9	72.9929	0.000210842938983546	C2H2O3	-H(-)	C00048	Glyoxylate
9	72.9929	0.000210842938983546	C2H2O3	-H(-)	HMDB0000119	Glyoxylic acid
9	72.9929	0.000210842938983546	C2H2O3	-H(-)	CHEBI:16891	glyoxylic acid
9	72.9929	0.000210842938983546	C2H2O3	-H(-)	CHEBI:36657	formic anhydride
10	73.0112	0.000500454859647448	C3H6S	-H(-)	HMDB0031635	2-Propene-1-thiol
10	73.0112	0.000500454859647448	C3H6S	-H(-)	HMDB0040345	1-Propene-1-thiol
11	73.0292	0.000314569498172545	C3H6O2	-H(-)	C00163	Propanoate
11	73.0292	0.000314569498172545	C3H6O2	-H(-)	C00424	(S)-Lactaldehyde
11	73.0292	0.000314569498172545	C3H6O2	-H(-)	C00937	(R)-Lactaldehyde
11	73.0292	0.000314569498172545	C3H6O2	-H(-)	C00969	3-Hydroxypropanal
11	73.0292	0.000314569498172545	C3H6O2	-H(-)	C05235	Hydroxyacetone
11	73.0292	0.000314569498172545	C3H6O2	-H(-)	C05999	Lactaldehyde
11	73.0292	0.000314569498172545	C3H6O2	-H(-)	C10920	Glycidol
11	73.0292	0.000314569498172545	C3H6O2	-H(-)	C17530	Methyl acetate
11	73.0292	0.000314569498172545	C3H6O2	-H(-)	HMDB0000237	Propionic acid
11	73.0292	0.000314569498172545	C3H6O2	-H(-)	HMDB0003052	Lactaldehyde
11	73.0292	0.000314569498172545	C3H6O2	-H(-)	HMDB0003453	3-Hydroxypropanal
11	73.0292	0.000314569498172545	C3H6O2	-H(-)	HMDB0006458	D-Lactaldehyde
11	73.0292	0.000314569498172545	C3H6O2	-H(-)	HMDB0006949	NA
