"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"C06145","NA","NA","NA","NA","NA","0"
"C14275","NA","NA","NA","NA","NA","0"
"HMDB0006853","3-Butyn-1-al","HMDB0006853","142966","C06145","O=CCC#C","1"
"HMDB0006945","NA","NA","NA","NA","NA","0"
"HMDB0013785","Furan","HMDB0013785","8029","C14275","O1C=CC=C1","1"
"CHEBI:28180","NA","NA","NA","NA","NA","0"
"CHEBI:35559","NA","NA","NA","NA","NA","0"
"CHEBI:48060","NA","NA","NA","NA","NA","0"
"C00511","NA","NA","NA","NA","NA","0"
"C00546","NA","NA","NA","NA","NA","0"
"C19246","NA","NA","NA","NA","NA","0"
"C19297","NA","NA","NA","NA","NA","0"
"C19440","NA","NA","NA","NA","NA","0"
"C19501","NA","NA","NA","NA","NA","0"
"HMDB0001167","Pyruvaldehyde","HMDB0001167","880","C00546","CC(=O)C=O","1"
"HMDB0006112","Malondialdehyde","HMDB0006112","10964","C19440","O=CCC=O","1"
"HMDB0031647","Acrylic acid","HMDB0031647","6581","C00511","OC(=O)C=C","1"
"CHEBI:17158","NA","NA","NA","NA","NA","0"
"CHEBI:18308","NA","NA","NA","NA","NA","0"
"CHEBI:49073","NA","NA","NA","NA","NA","0"
"CHEBI:566274","NA","NA","NA","NA","NA","0"
"C00048","NA","NA","NA","NA","NA","0"
"HMDB0000119","Glyoxylic acid","HMDB0000119","760","C00048","OC(=O)C=O","1"
"CHEBI:16891","NA","NA","NA","NA","NA","0"
"CHEBI:36657","NA","NA","NA","NA","NA","0"
"C00741","NA","NA","NA","NA","NA","0"
"C01770","NA","NA","NA","NA","NA","0"
"C01771","NA","NA","NA","NA","NA","0"
"C02497","NA","NA","NA","NA","NA","0"
"C16267","NA","NA","NA","NA","NA","0"
"C16835","NA","NA","NA","NA","NA","0"
"C19201","NA","NA","NA","NA","NA","0"
"C19309","NA","NA","NA","NA","NA","0"
"C19443","NA","NA","NA","NA","NA","0"
"HMDB0000549","gamma-Butyrolactone","HMDB0000549","7302","C01770","O=C1CCCO1","1"
"HMDB0002523","Oxolan-3-one","HMDB0002523","529392",NA,"O=C1CCOC1","1"
"HMDB0003407","Diacetyl","HMDB0003407","650","C00741","CC(=O)C(C)=O","1"
"HMDB0010720","But-2-enoic acid","HMDB0010720","637090","C01771","C\C=C\C(O)=O","1"
"HMDB0031209","Ethenyl acetate","HMDB0031209","7904","C19309","CC(=O)OC=C","1"
"HMDB0033977","Methyl acrylate","HMDB0033977","7294","C19443","COC(=O)C=C","1"
"HMDB0034439","Isocrotonic acid","HMDB0034439","643792",NA,"C\C=C/C(O)=O","1"
"CHEBI:16413","NA","NA","NA","NA","NA","0"
"CHEBI:16583","NA","NA","NA","NA","NA","0"
"CHEBI:17217","NA","NA","NA","NA","NA","0"
"CHEBI:23500","NA","NA","NA","NA","NA","0"
"CHEBI:23704","NA","NA","NA","NA","NA","0"
"CHEBI:25219","NA","NA","NA","NA","NA","0"
"CHEBI:35897","NA","NA","NA","NA","NA","0"
"CHEBI:36253","NA","NA","NA","NA","NA","0"
"CHEBI:41131","NA","NA","NA","NA","NA","0"
"CHEBI:42639","NA","NA","NA","NA","NA","0"
"CHEBI:46916","NA","NA","NA","NA","NA","0"
"CHEBI:51046","NA","NA","NA","NA","NA","0"
"CHEBI:51047","NA","NA","NA","NA","NA","0"
"CHEBI:51048","NA","NA","NA","NA","NA","0"
"C00022","NA","NA","NA","NA","NA","0"
"C00222","NA","NA","NA","NA","NA","0"
"C12069","NA","NA","NA","NA","NA","0"
"C20363","NA","NA","NA","NA","NA","0"
"HMDB0000243","Pyruvic acid","HMDB0000243","1060","C00022","CC(=O)C(O)=O","1"
"HMDB0011111","Malonic semialdehyde","HMDB0011111","868","C00222","OC(=O)CC=O","1"
"HMDB0011666","NA","NA","NA","NA","NA","0"
"HMDB0040261","Glucosereductone","HMDB0040261","4451502",NA,"OC(C=O)C=O","1"
"HMDB0062676","NA","NA","NA","NA","NA","0"
