"listpathway","Match"
" 14- and 16-membered macrolides; Including: Tylosin biosynthesis","Macrocin; Macrocin"
" Acridone alkaloid biosynthesis","L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; Benzoate; Benzoate; Cholesterol; Cholesterol; Vanillin; Vanillin; Methyl n-acetylanthranilate; Methyl n-acetylanthranilate; 8-Methylnonenoate; 8-Methylnonenoate"
" Aerobactin biosynthesis","Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Alanine; L-Alanine; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" androgen and estrogen receptor agonists/antagonists","Testosterone; Testosterone; Epitestosterone; Epitestosterone"
" aspartate and glutamate metabolism","Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Alanine; L-Alanine; Succinic acid; Succinic acid; L-Aspartic acid; L-Aspartic acid; L-Glutamine; L-Glutamine; Fumaric acid; Fumaric acid; L-Asparagine; L-Asparagine; Citric acid; Citric acid; Gamma-Aminobutyric acid; Gamma-Aminobutyric acid; D-Aspartic acid; D-Aspartic acid; N-Acetyl-L-aspartic acid; N-Acetyl-L-aspartic acid"
" Aurachin biosynthesis","Adenosine triphosphate; Adenosine triphosphate; Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; O-Acetylserine; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" Avermectin biosynthesis","Macrocin; Macrocin"
" Bacilysin biosynthesis","Adenosine triphosphate; Adenosine triphosphate; Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; O-Acetylserine; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" Benzoxazinoid biosynthesis","L-Aspartic acid; L-Aspartic acid; L-Methionine; L-Methionine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; Indole; Indole; 3-(2-Hydroxyphenyl)propanoic acid; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; 15-Deacetylneosolaniol; Coumaric acid; Coumaric acid; Coumarin; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; Zeaxanthin; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; (3S,3'S,all-E)-Zeaxanthin; Hordatine B; Hordatine B; Scoparone; Scoparone; Umbelliferone; Umbelliferone; (-)-Matairesinol; (-)-Matairesinol; Indolin-2-one; Indolin-2-one; Safranal; Safranal; Secoisolariciresinol; Secoisolariciresinol; N1-trans-Feruloylagmatine; N1-trans-Feruloylagmatine"
" Cannabidiol biosynthesis","L-Aspartic acid; L-Aspartic acid; L-Methionine; L-Methionine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; Indole; Indole; 3-(2-Hydroxyphenyl)propanoic acid; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; 15-Deacetylneosolaniol; Coumaric acid; Coumaric acid; Coumarin; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; Zeaxanthin; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; (3S,3'S,all-E)-Zeaxanthin; Hordatine B; Hordatine B; Scoparone; Scoparone; Umbelliferone; Umbelliferone; (-)-Matairesinol; (-)-Matairesinol; Indolin-2-one; Indolin-2-one; Safranal; Safranal; Secoisolariciresinol; Secoisolariciresinol; N1-trans-Feruloylagmatine; N1-trans-Feruloylagmatine"
" Capsaicin biosynthesis","L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; Benzoate; Benzoate; Cholesterol; Cholesterol; Vanillin; Vanillin; Methyl n-acetylanthranilate; Methyl n-acetylanthranilate; 8-Methylnonenoate; 8-Methylnonenoate"
" Coumarin biosynthesis","L-Aspartic acid; L-Aspartic acid; L-Methionine; L-Methionine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; Indole; Indole; 3-(2-Hydroxyphenyl)propanoic acid; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; 15-Deacetylneosolaniol; Coumaric acid; Coumaric acid; Coumarin; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; Zeaxanthin; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; (3S,3'S,all-E)-Zeaxanthin; Hordatine B; Hordatine B; Scoparone; Scoparone; Umbelliferone; Umbelliferone; (-)-Matairesinol; (-)-Matairesinol; Indolin-2-one; Indolin-2-one; Safranal; Safranal; Secoisolariciresinol; Secoisolariciresinol; N1-trans-Feruloylagmatine; N1-trans-Feruloylagmatine"
" Cremeomycin biosynthesis","Adenosine triphosphate; Adenosine triphosphate; Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; O-Acetylserine; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" Cyclooctatin biosynthesis","Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Alanine; L-Alanine; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" Cycloserine biosynthesis","Adenosine triphosphate; Adenosine triphosphate; Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; O-Acetylserine; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" Dapdiamides biosynthesis","Adenosine triphosphate; Adenosine triphosphate; Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; O-Acetylserine; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" diarylheptanoid and gingerol biosynthesis","Cyclostenol; Curcumin; Curcumin; Cyclostenol; Demethoxycurcumin; Demethoxycurcumin"
" Ephedrine biosynthesis","L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; Benzoate; Benzoate; Cholesterol; Cholesterol; Vanillin; Vanillin; Methyl n-acetylanthranilate; Methyl n-acetylanthranilate; 8-Methylnonenoate; 8-Methylnonenoate"
" Erythromycin biosynthesis","Macrocin; Macrocin"
" Ethynylserine biosynthesis","Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Alanine; L-Alanine; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" Fosfomycin biosynthesis","Adenosine triphosphate; Adenosine triphosphate; Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; O-Acetylserine; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" Fumiquinazoline D biosynthesis","Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Alanine; L-Alanine; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" Furanocoumarin biosynthesis","L-Aspartic acid; L-Aspartic acid; L-Methionine; L-Methionine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; Indole; Indole; 3-(2-Hydroxyphenyl)propanoic acid; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; 15-Deacetylneosolaniol; Coumaric acid; Coumaric acid; Coumarin; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; Zeaxanthin; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; (3S,3'S,all-E)-Zeaxanthin; Hordatine B; Hordatine B; Scoparone; Scoparone; Umbelliferone; Umbelliferone; (-)-Matairesinol; (-)-Matairesinol; Indolin-2-one; Indolin-2-one; Safranal; Safranal; Secoisolariciresinol; Secoisolariciresinol; N1-trans-Feruloylagmatine; N1-trans-Feruloylagmatine"
" Gramine biosynthesis","L-Aspartic acid; L-Aspartic acid; L-Methionine; L-Methionine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; Indole; Indole; 3-(2-Hydroxyphenyl)propanoic acid; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; 15-Deacetylneosolaniol; Coumaric acid; Coumaric acid; Coumarin; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; Zeaxanthin; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; (3S,3'S,all-E)-Zeaxanthin; Hordatine B; Hordatine B; Scoparone; Scoparone; Umbelliferone; Umbelliferone; (-)-Matairesinol; (-)-Matairesinol; Indolin-2-one; Indolin-2-one; Safranal; Safranal; Secoisolariciresinol; Secoisolariciresinol; N1-trans-Feruloylagmatine; N1-trans-Feruloylagmatine"
" Grixazone biosynthesis","Pyruvic acid; Pyruvic acid; L-Glutamic acid; L-Glutamic acid; Oxoglutaric acid; Oxoglutaric acid; L-Alanine; L-Alanine; L-Aspartic acid; L-Aspartic acid; L-Serine; L-Serine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; L-Aspartate-semialdehyde; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine; Phosphoserine; DL-O-Phosphoserine"
" Hordatine biosynthesis","L-Aspartic acid; L-Aspartic acid; L-Methionine; L-Methionine; L-Tryptophan; L-Tryptophan; L-Phenylalanine; L-Phenylalanine; L-Tyrosine; L-Tyrosine; Indole; Indole; 3-(2-Hydroxyphenyl)propanoic acid; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; 15-Deacetylneosolaniol; Coumaric acid; Coumaric acid; Coumarin; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; Zeaxanthin; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; (3S,3'S,all-E)-Zeaxanthin; Hordatine B; Hordatine B; Scoparone; Scoparone; Umbelliferone; Umbelliferone; (-)-Matairesinol; (-)-Matairesinol; Indolin-2-one; Indolin-2-one; Safranal; Safranal; Secoisolariciresinol; Secoisolariciresinol; N1-trans-Feruloylagmatine; N1-trans-Feruloylagmatine"
" kanamycin and gentamicin biosynthesis","L-Glutamic acid; L-Glutamic acid"
