"listpathway","Match"
" 14- and 16-membered macrolides; Including: Tylosin biosynthesis","Macrocin"
" Acridone alkaloid biosynthesis","L-Tryptophan; L-Phenylalanine; Benzoate; Cholesterol; Vanillin; Methyl n-acetylanthranilate; 8-Methylnonenoate"
" Aerobactin biosynthesis","Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Alanine; L-Aspartic acid; L-Serine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine"
" androgen and estrogen receptor agonists/antagonists","Testosterone; Epitestosterone"
" aspartate and glutamate metabolism","Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Alanine; Succinic acid; L-Aspartic acid; L-Glutamine; Fumaric acid; L-Asparagine; Citric acid; Gamma-Aminobutyric acid; D-Aspartic acid; N-Acetyl-L-aspartic acid"
" Aurachin biosynthesis","Adenosine triphosphate; Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Aspartic acid; L-Serine; L-Tyrosine; L-Aspartate-semialdehyde; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine"
" Avermectin biosynthesis","Macrocin"
" Bacilysin biosynthesis","Adenosine triphosphate; Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Aspartic acid; L-Serine; L-Tyrosine; L-Aspartate-semialdehyde; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine"
" Benzoxazinoid biosynthesis","L-Aspartic acid; L-Methionine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; Indole; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; Coumaric acid; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; Hordatine B; Scoparone; Umbelliferone; (-)-Matairesinol; Indolin-2-one; Safranal; Secoisolariciresinol; N1-trans-Feruloylagmatine"
" Cannabidiol biosynthesis","L-Aspartic acid; L-Methionine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; Indole; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; Coumaric acid; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; Hordatine B; Scoparone; Umbelliferone; (-)-Matairesinol; Indolin-2-one; Safranal; Secoisolariciresinol; N1-trans-Feruloylagmatine"
" Capsaicin biosynthesis","L-Tryptophan; L-Phenylalanine; Benzoate; Cholesterol; Vanillin; Methyl n-acetylanthranilate; 8-Methylnonenoate"
" Coumarin biosynthesis","L-Aspartic acid; L-Methionine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; Indole; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; Coumaric acid; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; Hordatine B; Scoparone; Umbelliferone; (-)-Matairesinol; Indolin-2-one; Safranal; Secoisolariciresinol; N1-trans-Feruloylagmatine"
" Cremeomycin biosynthesis","Adenosine triphosphate; Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Aspartic acid; L-Serine; L-Tyrosine; L-Aspartate-semialdehyde; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine"
" Cyclooctatin biosynthesis","Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Alanine; L-Aspartic acid; L-Serine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine"
" Cycloserine biosynthesis","Adenosine triphosphate; Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Aspartic acid; L-Serine; L-Tyrosine; L-Aspartate-semialdehyde; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine"
" Dapdiamides biosynthesis","Adenosine triphosphate; Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Aspartic acid; L-Serine; L-Tyrosine; L-Aspartate-semialdehyde; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine"
" diarylheptanoid and gingerol biosynthesis","Cyclostenol; Curcumin; Demethoxycurcumin"
" Ephedrine biosynthesis","L-Tryptophan; L-Phenylalanine; Benzoate; Cholesterol; Vanillin; Methyl n-acetylanthranilate; 8-Methylnonenoate"
" Erythromycin biosynthesis","Macrocin"
" Ethynylserine biosynthesis","Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Alanine; L-Aspartic acid; L-Serine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine"
" Fosfomycin biosynthesis","Adenosine triphosphate; Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Aspartic acid; L-Serine; L-Tyrosine; L-Aspartate-semialdehyde; O-Acetylserine; Phosphoserine; DL-O-Phosphoserine"
" Fumiquinazoline D biosynthesis","Pyruvic acid; L-Glutamic acid; Oxoglutaric acid; L-Alanine; L-Aspartic acid; L-Serine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; L-Aspartate-semialdehyde; Phosphoserine; DL-O-Phosphoserine"
" Furanocoumarin biosynthesis","L-Aspartic acid; L-Methionine; L-Tryptophan; L-Phenylalanine; L-Tyrosine; Indole; 3-(2-Hydroxyphenyl)propanoic acid; Gallic acid; 3-(2-hydroxyphenyl)prop-2-enoic acid; 15-Deacetylneosolaniol; Coumaric acid; Coumarin; Zeaxanthin; (3S,3'S,all-E)-Zeaxanthin; (3R,3'R,15-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,9-cis)-b,b-Carotene-3,3'-diol; (3R,3'R,13-cis)-b,b-Carotene-3,3'-diol; Hordatine B; Scoparone; Umbelliferone; (-)-Matairesinol; Indolin-2-one; Safranal; Secoisolariciresinol; N1-trans-Feruloylagmatine"
