OlinkID	UniProt	Assay
1	OID20429	Q8NHJ6	LILRB4
2	OID20438	Q6UXK5	LRRN1
3	OID20447	Q5R372	RABGAP1L
4	OID20459	Q03426	MVK
5	OID20461	P26951	IL3RA
6	OID20462	Q9Y3P8	SIT1
7	OID20475	O43597	SPRY2
8	OID20477	Q9P0M4	IL17C
9	OID20480	Q96RJ3	TNFRSF13C
10	OID20481	Q8TAD2	IL17D
11	OID20490	P12034	FGF5
12	OID20491	P09919	CSF3
13	OID20494	P01591	JCHAIN
14	OID20504	O43736	ITM2A
15	OID20523	P80098	CCL7
16	OID20528	P23229	ITGA6
17	OID20533	P19474	TRIM21
18	OID20540	P78410	BTN3A2
19	OID20547	Q8WTT0	CLEC4C
20	OID20550	P20849	COL9A1
21	OID20556	Q9UHC6	CNTNAP2
22	OID20562	P40933	IL15
23	OID20563	P05231	IL6
24	OID20564	P24071	FCAR
25	OID20573	Q9UMR7	CLEC4A
26	OID20574	P13725	OSM
27	OID20575	P28845	HSD11B1
28	OID20596	P08727	KRT19
29	OID20597	Q9HCM2	PLXNA4
30	OID20601	Q01344	IL5RA
31	OID20602	Q9NQ25	SLAMF7
32	OID20611	P50591	TNFSF10
33	OID20619	P22304	IDS
34	OID20620	O00273	DFFA
35	OID20624	O43508	TNFSF12
36	OID20628	Q9BZW8	CD244
37	OID20631	P10145	CXCL8
38	OID20634	O94856	NFASC
39	OID20636	Q9BXN2	CLEC7A
40	OID20641	P36959	GMPR
41	OID20642	Q15661	TPSAB1
42	OID20650	P15692	VEGFA
43	OID20655	Q99616	CCL13
44	OID20656	P14210	HGF
45	OID20657	Q12866	MERTK
46	OID20660	P43234	CTSO
47	OID20665	P48023	FASLG
48	OID20666	P29460	IL12B
49	OID20669	Q16719	KYNU
50	OID20672	P03956	MMP1
51	OID20677	P21709	EPHA1
52	OID20681	Q9UJU6	DBNL
53	OID20685	P47712	PLA2G4A
54	OID20687	P09238	MMP10
55	OID20692	P09326	CD48
56	OID20693	P55773	CCL23
57	OID20701	Q9NZV1	CRIM1
58	OID20703	Q9BY76	ANGPTL4
59	OID20704	O76096	CST7
60	OID20705	P21860	ERBB3
61	OID20706	Q99435	NELL2
62	OID20707	P55145	MANF
63	OID20708	Q14210	LY6D
64	OID20709	P29279	CCN2
65	OID20711	Q99685	MGLL
66	OID20712	Q8NFT8	DNER
67	OID20714	P34896	SHMT1
68	OID20717	P29350	PTPN6
69	OID20722	Q9Y3D6	FIS1
70	OID20726	Q9UKU9	ANGPTL2
71	OID20727	P22466	GAL
72	OID20733	O75888	TNFSF13
73	OID20743	P16422	EPCAM
74	OID20747	P24387	CRHBP
75	OID20749	Q9H008	LHPP
76	OID20752	Q99895	CTRC
77	OID20753	Q9NQ76	MEPE
78	OID20758	Q9NQ30	ESM1
79	OID20768	P36941	LTBR
80	OID20785	Q8TEU8	WFIKKN2
81	OID20789	Q13232	NME3
