Formula	postitive	negative	select
C10H12O	6	2	TRUE
C11H13N3O	7	1	TRUE
C11H14O	8	0	TRUE
C11H14O8S	1	7	TRUE
C12H15NO4	6	2	TRUE
C12H18O	7	1	TRUE
C12H19NO6	2	6	TRUE
C13H18O	8	0	TRUE
C13H24O2	1	7	TRUE
C15H10O9	2	6	TRUE
C15H20O5	1	7	TRUE
C16H19NO3	6	2	TRUE
C16H26O8	7	1	TRUE
C18H17NO4	6	2	TRUE
C18H21N3O3	8	0	TRUE
C18H26O7	7	1	TRUE
C18H32O4	7	1	TRUE
C19H21NO4	6	2	TRUE
C19H24O8	7	1	TRUE
C19H26O3	6	2	TRUE
C20H30O5	6	2	TRUE
C20H34O5	6	2	TRUE
C21H22O8	6	2	TRUE
C21H38O6	2	6	TRUE
C21H39O7P	7	1	TRUE
C22H30O10	2	6	TRUE
C22H30O4	6	2	TRUE
C22H36N4O13	2	6	TRUE
C22H42O4	2	6	TRUE
C23H46O4	0	8	TRUE
C24H30O6	2	6	TRUE
C24H38O3	6	2	TRUE
C26H46O6	1	7	TRUE
C2H7NO3S	1	7	TRUE
C36H65NO5	2	6	TRUE
C3H6O	7	1	TRUE
C3H6O4	7	1	TRUE
C3H7NO5S2	7	1	TRUE
C41H81O10P	2	6	TRUE
C44H70O23	1	7	TRUE
C44H74O20	7	1	TRUE
C46H70O18	6	2	TRUE
C48H76O13P2	7	1	TRUE
C4H8O5	6	2	TRUE
C52H82NO8P	2	6	TRUE
C5H10N2O2	0	8	TRUE
C5H10O5	6	2	TRUE
C5H11NO2	1	7	TRUE
C5H12S2	6	2	TRUE
C5H4OS	2	6	TRUE
C5H9NO2	6	2	TRUE
C6H10O3	0	8	TRUE
C6H12O4	6	2	TRUE
C6H12O7	2	6	TRUE
C6H12S	6	2	TRUE
C6H13NO4	6	2	TRUE
C6H13NO8S	2	6	TRUE
C7H10N4O3	2	6	TRUE
C7H7NO	7	1	TRUE
C7H8N4O3	2	6	TRUE
C8H14N3O12P3S	2	6	TRUE
C8H16O	7	1	TRUE
C8H16O2	7	1	TRUE
C8H9NO5S	8	0	TRUE
C9H16N2O6S	1	7	TRUE
C9H16O2	7	1	TRUE
